time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-20T14:41:21.100Z,18.5753,-68.9791,108,3.91,md,13,157,0.6008,0.4,pr,pr2024141000,2024-05-20T15:37:17.040Z,"1 km S of Guaymate, Dominican Republic",earthquake,2,1.48,0.13,8,reviewed,pr,pr
2024-05-20T13:04:19.061Z,13.7817,145.1207,111.391,4.5,mb,63,83,0.311,0.6,us,us6000mzt9,2024-05-20T14:18:31.238Z,"37 km NE of Yigo Village, Guam",earthquake,9.59,6,0.062,76,reviewed,us,us
2024-05-20T12:17:36.030Z,33.028,-116.0046667,11.18,4.05,mw,83,20,0.1439,0.25,ci,ci40593503,2024-05-22T14:37:51.583Z,"17 km SE of Ocotillo Wells, CA",earthquake,0.17,0.56,,6,reviewed,ci,ci
2024-05-20T11:10:15.730Z,19.1485,-155.4788333,32.59,2.74,ml,55,160,0.01724,0.11,hv,hv74241762,2024-05-20T23:25:10.000Z,"6 km S of Pāhala, Hawaii",earthquake,0.48,0.49,0.117145262,33,reviewed,hv,hv
2024-05-20T09:57:41.187Z,56.5325,-156.6042,21.4,3.6,ml,,,,0.77,ak,ak0246hch51e,2024-05-20T14:07:56.100Z,"114 km ENE of Chignik, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2024-05-20T09:20:14.718Z,24.1457,121.8505,23.494,4.4,mb,36,64,0.678,0.65,us,us6000mzsf,2024-05-20T12:38:11.040Z,"31 km NE of Hualien City, Taiwan",earthquake,4.35,6.607,0.115,22,reviewed,us,us
2024-05-20T08:43:27.690Z,32.914,-115.5321667,14.81,2.86,ml,57,36,0.02707,0.27,ci,ci40593359,2024-05-20T17:08:20.360Z,"7 km S of Brawley, CA",earthquake,0.23,0.48,0.195,105,reviewed,ci,ci
2024-05-20T08:41:24.960Z,54.4485,-159.6376,10,3.8,mb,33,185,1.025,0.38,us,us6000mzs9,2024-05-20T13:56:15.047Z,"113 km SSE of Sand Point, Alaska",earthquake,1.7,1.968,0.207,7,reviewed,us,us
2024-05-20T08:09:28.577Z,-26.2035,-69.0909,126.915,4.4,mb,22,62,1.13,0.53,us,us6000mzs5,2024-05-20T09:10:43.040Z,"97 km ENE of Diego de Almagro, Chile",earthquake,5.3,9.68,0.17,10,reviewed,us,us
2024-05-20T07:56:02.080Z,23.9204,122.3737,26.417,4.4,mwr,96,73,0.797,0.78,us,us6000mzs3,2024-05-20T08:44:12.040Z,"78 km E of Hualien City, Taiwan",earthquake,3.34,4.796,0.068,21,reviewed,us,us
2024-05-20T07:28:04.842Z,44.374,-115.1945,10,2.5,ml,45,34,0.366,0.79,us,us6000mzs0,2024-05-20T14:30:45.040Z,"26 km NW of Stanley, Idaho",earthquake,2.07,2.001,0.041,78,reviewed,us,us
2024-05-20T07:17:22.327Z,15.7541,-95.3396,35,4.9,mww,91,146,3.124,0.76,us,us6000mzrz,2024-05-20T07:36:53.040Z,"34 km S of Santa Gertrudis Miramar, Mexico",earthquake,7.25,1.751,0.062,25,reviewed,us,us
2024-05-20T06:48:14.171Z,17.7505,-101.0843,37.892,4.6,mb,129,162,1.891,0.5,us,us6000mzrx,2024-05-21T05:15:06.197Z,"30 km NE of Petatlán, Mexico",earthquake,8.09,7.776,0.034,257,reviewed,us,us
2024-05-20T05:10:23.245Z,40.1777,76.9563,27.994,5.1,mww,173,70,1.338,0.66,us,us6000mzrr,2024-05-21T05:18:24.539Z,"114 km NE of Kashgar, China",earthquake,3.08,3.999,0.098,10,reviewed,us,us
2024-05-20T04:05:43.973Z,51.0732,-179.8147,15.416,3.7,mb,30,226,0.634,0.27,us,us6000mzrw,2024-05-20T20:29:23.040Z,"238 km WSW of Adak, Alaska",earthquake,5.22,9.47,0.251,4,reviewed,us,us
2024-05-20T03:39:52.008Z,26.6537,140.4741,454.506,4,mb,71,85,1.59,0.59,us,us6000mzrh,2024-05-20T04:13:55.040Z,"Bonin Islands, Japan region",earthquake,14.62,6.649,0.076,46,reviewed,us,us
2024-05-20T02:17:59.705Z,60.9574,-147.6844,1.3,2.5,ml,,,,0.36,ak,ak0246h82kma,2024-05-20T03:13:50.040Z,"55 km W of Tatitlek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-05-20T02:06:02.396Z,59.4354,-153.7799,126.5,2.6,ml,,,,0.31,ak,ak0246h803bx,2024-05-20T02:42:37.040Z,"42 km ESE of Pope-Vannoy Landing, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-05-20T01:10:28.170Z,52.72283333,-169.419,3.83,2.62,ml,16,230,0.1954,0.3,av,av93132906,2024-05-20T20:47:42.390Z,"44 km WSW of Nikolski, Alaska",earthquake,1.85,1.63,0.1727918,5,reviewed,av,av
2024-05-20T00:55:08.749Z,16.778,-61.1896,39.509,4.4,mb,33,187,0.416,0.87,us,us6000mzr6,2024-05-20T01:07:33.040Z,"47 km NE of Anse-Bertrand, Guadeloupe",earthquake,3.6,9.093,0.105,26,reviewed,us,us
2024-05-20T00:19:09.680Z,34.7875,74.612,10,4.3,mb,19,166,5.93,0.62,us,us6000mzr2,2024-05-20T00:37:52.040Z,"41 km N of Bandipura, India",earthquake,8.43,1.991,0.201,7,reviewed,us,us
2024-05-19T23:59:40.929Z,60.3941,-142.953,14.2,2.6,ml,,,,0.74,ak,ak0246fxaagc,2024-05-20T00:01:43.632Z,"115 km S of McCarthy, Alaska",earthquake,,0.2,,,automatic,ak,ak
